t[s],Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter,Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter
0.0,3.5586264513136023,22.530255263312988,60.113586217475266,-13.248559427315424,3.8051069864569396,-0.18915570739453244,3.322606107975077,22.642049683935674,164.47391404200224,-13.350803892797781,3.0787488921820736,-0.4857502261891938
0.03,9.41357760894463,-8.10108377299716,247.52197367334963,-21.590424595565736,3.5127782550056024,2.774030818325792,0.0,0.0,0.0,0.0,0.0,0.0
0.06,3.2866278517969536,-2.258027627369329,223.72299671934135,-22.693995991102444,2.10939971616331,0.5782712287594993,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.259192839149644,-1.180050982270935,222.93614172155284,-22.703888185335046,0.7745632917969287,-0.02581788327504322,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.598539700380919,-0.8744524114233492,222.8180280739013,-22.533286279534508,0.011916468032766513,-0.14744775779081015,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.7088100187027414,-0.7991232525872438,222.8167606116735,-22.301898472061673,-0.39529491564787045,-0.13305571010030073,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-0.6157348143518879,-0.7809463092773941,222.83624130905332,-22.04852246941182,-0.6145308744454525,-0.09726002651267915,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-0.4882435709224387,-0.7771531167222617,222.84735235877025,-21.784726073171207,-0.7464971547612954,-0.06763172586536777,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.37028813383060033,-0.7824910296838015,222.8453087962561,-21.51367014226743,-0.8441817011285545,-0.04666040494393253,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-0.2699348838400537,-0.7987334248922942,222.83131264327716,-21.23616815963776,-0.9322874109261571,-0.03209909102223926,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-0.1857053495288048,-0.8278462407910357,222.80660450051988,-20.952163335109585,-1.0205190608931096,-0.02180806430459121,0.0,0.0,0.0,0.0,0.0,0.0
0.33,-0.11350785731811533,-0.8715705576361764,222.7713324529487,-20.66095674417678,-1.1112678153908757,-0.01431292925383653,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-0.04856437543271089,-0.9319545470881757,222.72466048147584,-20.361206824673296,-1.203650364371205,-0.00860742675805223,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.013882725443401826,-1.0117021637157686,222.6649771757247,-20.050920734677707,-1.295489413340587,-0.003977568406880934,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.0782730206946717,-1.1143101738908925,222.5899878305584,-19.72746430765359,-1.3842202644893251,8.992164192904443e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.14863724030406392,-1.2440834699808165,222.49670670745093,-19.387602677444686,-1.4672755814853082,0.003954489293535765,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.2285903290636064,-1.4060440472858797,222.3813876215676,-19.027607491290265,-1.5422495048425582,0.007846505152893316,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.3212968825772428,-1.6056684201790945,222.23941236104565,-18.64349925538179,-1.60701050523402,0.011873845090986204,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.429305454317197,-1.8483079835408123,222.0651356755893,-18.231535366517203,-1.6598682245586265,0.016006454284983596,0.0,0.0,0.0,0.0,0.0,0.0
0.57,0.5541445960239114,-2.138031221506378,221.85164353464288,-17.789110350914186,-1.6998708997520382,0.020033069263468286,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.695521475776194,-2.475451366646319,221.59050761072027,-17.31629691300913,-1.7273076245092804,0.023496114011144816,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.8501510371700833,-2.8537688643061765,221.2705839203804,-16.818320614562918,-1.74441733553991,0.025618626037491012,0.0,0.0,0.0,0.0,0.0,0.0
0.66,1.0099139238519126,-3.2523055282112945,220.87784973131087,-16.30927572980847,-1.75647702094465,0.025382185973361015,0.0,0.0,0.0,0.0,0.0,0.0
0.69,1.160583210790226,-3.6273374644339222,220.39479210569218,-15.817652127180876,-1.7732122230639569,0.021928647993876043,0.0,0.0,0.0,0.0,0.0,0.0
0.72,1.2842330987056099,-3.9065204609187028,219.8066627976408,-15.394186630342432,-1.8103097505990782,0.01550916354492727,0.0,0.0,0.0,0.0,0.0,0.0
0.75,1.3713886934264594,-4.009819812802305,219.14058255611107,-15.126686274244177,-1.891735463840913,0.007863024837306751,0.0,0.0,0.0,0.0,0.0,0.0
0.78,1.410594959081006,-4.016961509454005,219.13252714991492,-15.158348410175432,-2.065850698120496,0.00738707111688611,0.0,0.0,0.0,0.0,0.0,0.0
0.81,1.4012448171360055,-3.925183307850963,219.7813751200499,-15.49143926269085,-2.3383859263229168,0.014447049604888622,0.0,0.0,0.0,0.0,0.0,0.0
0.84,1.3482930043890335,-3.652677549016206,220.35287123842494,-15.984753720698453,-2.66806188591521,0.021118981352032853,0.0,0.0,0.0,0.0,0.0,0.0
0.87,1.2566087371549586,-3.2801366779025214,220.82136108306975,-16.550204442853435,-3.03342173944133,0.025745043233944536,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.143224297923439,-2.881346425022305,221.2016061706915,-17.13590126022519,-3.4184811263763883,0.027803538775811903,0.0,0.0,0.0,0.0,0.0,0.0
0.93,1.023653406956437,-2.501454731034781,221.51099830916925,-17.712135579559554,-3.811913041731295,0.027844089180723605,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.9083860931200045,-2.1625134874619376,221.76327640272117,-18.26357404183861,-4.206202705409251,0.026670511858704966,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.8034294269103218,-1.8724258851844273,221.96878477316764,-18.783966414121384,-4.596756883761693,0.02493454574280676,0.0,0.0,0.0,0.0,0.0,0.0
1.02,0.7116511203026544,-1.6314949271556947,222.1355401669548,-19.272436468060548,-4.98110691494328,0.023058268205803895,0.0,0.0,0.0,0.0,0.0,0.0
1.05,0.6338983041512039,-1.4363536528703538,222.26996914725714,-19.731024438287143,-5.358285600400508,0.021275785968147817,0.0,0.0,0.0,0.0,0.0,0.0
1.08,0.5697090306223414,-1.2820915150883796,222.3773442447132,-20.16321338246191,-5.728414357061314,0.019687251668098947,0.0,0.0,0.0,0.0,0.0,0.0
1.11,0.5176417306705375,-1.1632274453543245,222.46208491364558,-20.5732114936923,-6.092519976567308,0.018291183146071744,0.0,0.0,0.0,0.0,0.0,0.0
1.14,0.47524095142073114,-1.0738698904484159,222.52803553859886,-20.965849233567482,-6.452609894149028,0.01698817385308662,0.0,0.0,0.0,0.0,0.0,0.0
1.17,0.4385911030663511,-1.0071474830991898,222.5787926174476,-21.347068402909127,-6.812068216112269,0.015553232819397708,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.40131914785701495,-0.9537667685235298,222.61814546244963,-21.725120923418803,-7.176491701730198,0.013570767277565848,0.0,0.0,0.0,0.0,0.0,0.0
1.23,0.35278891600304113,-0.8992928201404607,222.65070223954194,-22.11276359456156,-7.5551695830418,0.010323633943032354,0.0,0.0,0.0,0.0,0.0,0.0
1.26,0.27506963896660197,-0.8193855792176976,222.6827767490806,-22.530941568039236,-7.963531904823287,0.004631905254787015,0.0,0.0,0.0,0.0,0.0,0.0
1.29,0.1380297937844431,-0.6717005251570516,222.72360676240808,-23.01470564145014,-8.42705864061654,-0.00535017762333267,0.0,0.0,0.0,0.0,0.0,0.0
1.32,-0.10848789874272818,-0.3825383113063959,222.78705207699923,-23.622433229329026,-8.987361253403217,-0.02238521746139201,0.0,0.0,0.0,0.0,0.0,0.0
1.35,-0.5473115477327547,0.17381584371647088,222.89452922911775,-24.44999353759897,-9.711388887700153,-0.050694868611227926,0.0,0.0,0.0,0.0,0.0,0.0
1.38,-1.3154086107637575,1.2027333958168298,223.08245246253284,-25.653047570654135,-10.704814558786468,-0.09813996072918973,0.0,0.0,0.0,0.0,0.0,0.0
1.41,-2.6429132594052964,3.0138947187177894,223.4245874861279,-27.48531815331667,-12.13012469371081,-0.1847916950045596,0.0,0.0,0.0,0.0,0.0,0.0
1.44,-4.92610421439956,6.01066781491323,224.09597709077312,-30.371945409905518,-14.227768474091707,-0.36957963100957936,0.0,0.0,0.0,0.0,0.0,0.0
1.47,-8.865649723793373,10.560220877524154,225.75097043053904,-35.04483546116378,-17.341557230271025,-0.8047007824568367,0.0,0.0,0.0,0.0,0.0,0.0
1.5,-16.294511789143485,14.521347628395073,245.78917710012283,-42.231817078992286,-22.369864547132792,-1.4908569489162995,0.0,0.0,0.0,0.0,0.0,0.0
1.53,18.16044925014386,0.22269002102375413,55.96014884406139,-0.004863888510714647,3.3610496101912304,0.042712585506963927,0.0,0.0,0.0,0.0,0.0,0.0
1.56,20.30642398791533,-25.620067530912788,183.95141534016096,12.538923509820297,10.420940195148603,0.7259125564376905,12.966645281468287,-24.168844142732958,39.620545847664125,12.093744916772279,11.769989771580207,1.0305625584555502
1.59,0.0,0.0,0.0,0.0,0.0,0.0,18.684545212893646,8.046590255010099,249.5186534093388,20.641712921590393,18.537477022522182,-5.249832213634926
1.62,0.0,0.0,0.0,0.0,0.0,0.0,6.626420246293015,1.9579268318029805,223.63620544591296,21.66280313428734,14.65285720466752,-1.1839042424729276
1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.6480020070669537,0.909854838097522,222.93963969240275,21.501058216396675,11.536715242342026,0.02529105550286897
1.68,0.0,0.0,0.0,0.0,0.0,0.0,-1.1670946979504593,0.6772674261036205,222.734809084426,21.15390791596374,9.65431813076345,0.27264709586853836
1.71,0.0,0.0,0.0,0.0,0.0,0.0,-1.5090216997084211,0.6654961184824858,222.65626860771022,20.768182713406247,8.53333142638451,0.24817765202626285
1.74,0.0,0.0,0.0,0.0,0.0,0.0,-1.4174823550160482,0.6895408696229197,222.6439930333556,20.385577934865687,7.821721419411521,0.18136148854897924
1.77,0.0,0.0,0.0,0.0,0.0,0.0,-1.2302210734616372,0.7094542667980077,222.65474423978648,20.01119872426541,7.306004399548667,0.12681953842790195
1.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0458179735994764,0.7258500247047798,222.66664880211968,19.640796617872493,6.871317980999634,0.08920423998951446
1.83,0.0,0.0,0.0,0.0,0.0,0.0,-0.8901199545599875,0.7457461276677562,222.67068761098722,19.269555579358954,6.461797134845903,0.0639757660586403
1.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.7671468879319667,0.7749574565343958,222.6635698097297,18.893780339824144,6.053360036411443,0.04697867140707197
1.89,0.0,0.0,0.0,0.0,0.0,0.0,-0.6736732702608828,0.8177610251486155,222.64404045627643,18.510643603472733,5.637758280325449,0.03545889683671136
1.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.603967412725508,0.8777181779364335,222.6112709871958,18.117685420929835,5.214027197198763,0.02761488317684164
1.95,0.0,0.0,0.0,0.0,0.0,0.0,-0.5518153153425168,0.9583205772409389,222.56420124985866,17.71244029903209,4.784182446398501,0.022223538043111134
1.98,0.0,0.0,0.0,0.0,0.0,0.0,-0.5114729303551142,1.063365161275973,222.50126087736854,17.292213428014453,4.351189266764627,0.01844995210889442
2.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.478012913987911,1.1971309064004434,222.4202263291803,16.85398429258783,3.91809417585662,0.015749139307635787
2.04,0.0,0.0,0.0,0.0,0.0,0.0,-0.4473317007791046,1.3643778804987032,222.31811469679158,16.394444405207782,3.487722140421944,0.013806194266622364
2.07,0.0,0.0,0.0,0.0,0.0,0.0,-0.41601435366035244,1.570118087829154,222.191069871856,15.910215458064936,3.0626235885329405,0.012499548130086737
2.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.38119216828149594,1.8190309611329034,222.0342091146365,15.398338712981822,2.6451049799770914,0.0118860688944023
2.13,0.0,0.0,0.0,0.0,0.0,0.0,-0.3404778075240518,2.1142841947458773,221.84137811901584,14.857177487743114,2.237254952035224,0.012206849124042412
2.16,0.0,0.0,0.0,0.0,0.0,0.0,-0.2920242997241287,2.455331037124018,221.60469859324567,14.287925158894968,1.8409190305216825,0.013900600571050907
2.19,0.0,0.0,0.0,0.0,0.0,0.0,-0.23469637948651986,2.833974828295979,221.31369544154202,13.696938390991045,1.4575960241375046,0.017574528384140663
2.22,0.0,0.0,0.0,0.0,0.0,0.0,-0.16819221214703123,3.227845655854603,220.95387103194824,13.099097109694386,1.0882289950250883,0.023801227795180787
2.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.09260996235588458,3.591600562777339,220.5057959888572,12.522429855620521,0.7328244796238145,0.032528538884309
2.28,0.0,0.0,0.0,0.0,0.0,0.0,-0.00650844295082737,3.8524434686578872,219.95095605094357,12.01499928976415,0.38973455528454864,0.042184396560527936
2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.09606899234478697,3.936794988665123,219.31150482169699,11.65862424290545,0.054192845961143925,0.05049437363776237
2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.17850669734418545,3.939534915247747,219.30680141481037,11.591506823528514,-0.2965296212845883,0.05388817768996174
2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.23899097749057252,3.859542741244455,219.93784226528132,11.815361263190752,-0.6740583754756331,0.0517348718663188
2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3007886920662102,3.6007909406473733,220.48678570581058,12.193117782101366,-1.0701506234659879,0.04618301129064791
2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.3485238798907825,3.2367996459872095,220.93109684663187,12.642556057249722,-1.4854850828801203,0.03886535372601359
2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.37858251496430306,2.840754090461862,221.2885189694977,13.114909126431083,-1.9183595962995537,0.03175481039194189
2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.3935036259555011,2.458670024775905,221.57792633420388,13.581373544530463,-2.365842983536276,0.02560317309629277
2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.39758595536153524,2.113695943371073,221.81348776250599,14.02632296341088,-2.8246790863489752,0.020445013495629907
2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.3949703856991357,1.8147695708008653,222.00548217146235,14.442754221861687,-3.291838115505206,0.01609290647003979
2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.3890320015367607,1.563061768275246,222.16166822017664,14.828970093251815,-3.7648033759688113,0.01234965426167593
2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.3822612826994713,1.3558699703621822,222.28815280424377,15.186279140668349,-4.241709521602428,0.009061126397920168
2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.3762374182898699,1.1887676607357225,222.38988069570695,15.517545287379585,-4.721447768939536,0.006117809215812844
2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.37149928545013194,1.0566621734087314,222.4709558434172,15.826410572817023,-5.203847209448673,0.0034541631838347023
2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.36716771784209523,0.9541148211952355,222.5349209601527,16.117058777432593,-5.690050296263214,0.0010642050025878665
2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.36013728151668056,0.8750468565351623,222.58506967507148,16.39447128562447,-6.183236345284172,-0.0009562486385802827
2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.343566752943203,0.811768020323555,222.6248532124406,16.665232016830142,-6.6899181329048,-0.0023290461661721685
2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.30425963421569363,0.75306432623568,222.65844825830624,16.939061065717993,-7.222154595840861,-0.0024627568699249493
2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.21832384401873786,0.6808097606819346,222.69154969869575,17.231398026942248,-7.8012035411153215,-0.00026553968808407807
2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.04414822602098184,0.5641690466020899,222.7324193545119,17.56752230268509,-8.463400330538823,0.006104592765810764
2.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.28911448853405836,0.3499562692473891,222.7931917173728,17.988949592508188,-9.269388240063993,0.01967583375698463
2.91,0.0,0.0,0.0,0.0,0.0,0.0,-0.9018051108719886,-0.05252489847417915,222.89170724903204,18.56350312596512,-10.31813004963217,0.04606737368167076
2.94,0.0,0.0,0.0,0.0,0.0,0.0,-2.0035859550971438,-0.7924261310757873,223.05579766981347,19.40266903816711,-11.766930125263585,0.09900082035470918
2.97,0.0,0.0,0.0,0.0,0.0,0.0,-3.9779143940167985,-2.0980583883690285,223.33752504753318,20.69646277702784,-13.856695978416443,0.21914978838547566
3.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.554408072649677,-4.276388564224807,223.86059916600908,22.790790530441196,-16.935565512553914,0.5254110812687753
3.03,0.0,0.0,0.0,0.0,0.0,0.0,-14.101861462532515,-7.6342788832586725,225.1979933141204,26.34034500522038,-21.47055235490673,1.3079303231836499
3.06,0.0,0.0,0.0,0.0,0.0,0.0,-26.4007626420065,-10.597531934367156,246.3893537110064,32.00234736684093,-28.464555109361687,2.716828346182153
3.09,0.0,0.0,0.0,0.0,0.0,0.0,18.41879000180523,-2.2898843264904927,56.86929290487862,0.17609647986185292,3.415223730882217,-0.09129815282814246
3.12,12.108859425079874,28.027997794712633,40.01972523481802,-16.38534791713869,10.919466533158342,-0.09585444904738753,21.285570076469366,27.08554174807545,185.9818784375311,-19.0080352157182,10.431413650209757,-0.5579270092419711
3.15,18.883486094069283,-9.5900699175208,250.48029275468676,-26.6190382948655,17.67753618731765,5.568030657755666,0.0,0.0,0.0,0.0,0.0,0.0
3.18,6.622882150926825,-2.0666505983551726,223.37074423765043,-27.734357620728066,13.757784440605315,1.3237388412511784,0.0,0.0,0.0,0.0,0.0,0.0
3.21,0.6652547981982717,-1.1064586230022189,222.75969195432148,-27.51963980505301,10.6241513100327,0.030983737303213806,0.0,0.0,0.0,0.0,0.0,0.0
3.24,-1.115961081907394,-0.938577443279553,222.6010670810053,-27.140653152813112,8.748758026711677,-0.25891195455077143,0.0,0.0,0.0,0.0,0.0,0.0
3.27,-1.4534492410829414,-0.9517785843205809,222.54469449817495,-26.745785961644696,7.63628707770369,-0.25762526852867124,0.0,0.0,0.0,0.0,0.0,0.0
3.3,-1.3732141676307197,-0.9781511578484025,222.5461926115454,-26.369734490088337,6.930873837298769,-0.2021067542691222,0.0,0.0,0.0,0.0,0.0,0.0
3.33,-1.1991274157785041,-0.9904534571426923,222.56763408916848,-26.0112192895105,6.420790378107365,-0.1515652809500684,0.0,0.0,0.0,0.0,0.0,0.0
3.36,-1.024334039413021,-0.9960631599084312,222.5885775941956,-25.661789058154426,5.992773143106902,-0.11406581477286634,0.0,0.0,0.0,0.0,0.0,0.0
3.39,-0.8742027140833546,-1.0049524519566382,222.60017328421577,-25.3142411085891,5.591430886397134,-0.087333657683227,0.0,0.0,0.0,0.0,0.0,0.0
3.42,-0.7538844147951872,-1.0239906868937692,222.59896896869338,-24.96364837766348,5.192446223961456,-0.06848614379355887,0.0,0.0,0.0,0.0,0.0,0.0
3.45,-0.6613826602437824,-1.057700069620629,222.58351651088645,-24.60659974542952,4.7871006668858,-0.05536283420480322,0.0,0.0,0.0,0.0,0.0,0.0
3.48,-0.5918769461361936,-1.1095891284683679,222.5528301709416,-24.240379968607257,4.373984821502094,-0.046367278456875445,0.0,0.0,0.0,0.0,0.0,0.0
3.51,-0.5397373449931617,-1.1830189484064257,222.50571901298105,-23.86240618355026,3.9547883335196072,-0.040289092693682964,0.0,0.0,0.0,0.0,0.0,0.0
3.54,-0.49955729768755003,-1.2816796878660144,222.44048067211185,-23.469887569075507,3.532281080169225,-0.036222933608426926,0.0,0.0,0.0,0.0,0.0,0.0
3.57,-0.46657133760121616,-1.4098311052857655,222.3547352756709,-23.059650145783166,3.1094298333211485,-0.03352229262612632,0.0,0.0,0.0,0.0,0.0,0.0
3.6,-0.43670538121387087,-1.5723614323590263,222.2453091025541,-22.628111964403224,2.6890789372897466,-0.03175970829864079,0.0,0.0,0.0,0.0,0.0,0.0
3.63,-0.4064594775145351,-1.774627449338585,222.10812944034163,-22.17144429964958,2.273888419289106,-0.030693755836443834,0.0,0.0,0.0,0.0,0.0,0.0
3.66,-0.37276317993277724,-2.021952687387709,221.9381098684053,-21.68600940992902,1.8663639363454534,-0.030250096058443247,0.0,0.0,0.0,0.0,0.0,0.0
3.69,-0.3328944718415246,-2.318544488092441,221.72900114162496,-21.16923183037276,1.4688857723712319,-0.030520500979156817,0.0,0.0,0.0,0.0,0.0,0.0
3.72,-0.28451925484998236,-2.665403968797153,221.47315315902944,-20.62113980168751,1.0836788446055328,-0.03177267154186446,0.0,0.0,0.0,0.0,0.0,0.0
3.75,-0.22586092849838982,-3.0565304498034562,221.16109081764006,-20.04689781874294,0.712677263749479,-0.0344338978220578,0.0,0.0,0.0,0.0,0.0,0.0
3.78,-0.15587756729648938,-3.472528826750704,220.780895799195,-19.46073214200753,0.35722742969189847,-0.03894549044117529,0.0,0.0,0.0,0.0,0.0,0.0
3.81,-0.07401944181405111,-3.871484730394155,220.31822502452678,-18.891803477585054,0.0175293065261352,-0.04531061187773348,0.0,0.0,0.0,0.0,0.0,0.0
3.84,0.021167281234861866,-4.1814568302986626,219.76121713730157,-18.393269699561593,-0.3083885177676585,-0.05236554722293071,0.0,0.0,0.0,0.0,0.0,0.0
3.87,0.13332290577673583,-4.313893929130564,219.13050204472108,-18.05841015453336,-0.6267037845986793,-0.058283543553027506,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0.21674209224835814,-4.320420545989192,219.12314204616825,-18.039103196089474,-0.9647285479727294,-0.05863430094831912,0.0,0.0,0.0,0.0,0.0,0.0
3.93,0.26960173151673295,-4.199216775154318,219.739140349436,-18.337329126000217,-1.3340952893061486,-0.05253416326870807,0.0,0.0,0.0,0.0,0.0,0.0
3.96,0.32425749874826626,-3.8968670469212414,220.28328892147405,-18.803027087486495,-1.7220926323393784,-0.0435586511078311,0.0,0.0,0.0,0.0,0.0,0.0
3.99,0.3676302486386579,-3.501881546643855,220.73568050106743,-19.342886606421914,-2.128162458231271,-0.03358300801736819,0.0,0.0,0.0,0.0,0.0,0.0
4.02,0.39596134757564816,-3.08686205382697,221.10798548703977,-19.903060090474103,-2.5504030801201827,-0.02440829299988639,0.0,0.0,0.0,0.0,0.0,0.0
4.05,0.4110290584697708,-2.6946753153569234,221.41413401819614,-20.453469209485934,-2.9861056034113083,-0.016673613527719462,0.0,0.0,0.0,0.0,0.0,0.0
4.08,0.4163492968077256,-2.3457166518363244,221.6656401391966,-20.97896829425451,-3.432368284395509,-0.010359849482003447,0.0,0.0,0.0,0.0,0.0,0.0
4.11,0.41544061896800094,-2.0468901213135084,221.8716343504184,-21.473595431969827,-3.8865002198899266,-0.0052328675668061415,0.0,0.0,0.0,0.0,0.0,0.0
4.14,0.4112492771319355,-1.79793262938878,222.03949836393014,-21.936707659360806,-4.346242601235478,-0.0010378255708228053,0.0,0.0,0.0,0.0,0.0,0.0
4.17,0.4060110658296898,-1.5951715489502312,222.17531737378053,-22.370491841812242,-4.8098866523393795,0.0024410705036106853,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0.4011971174586426,-1.4335491609797628,222.2841712383477,-22.778499475035332,-5.276375813466548,0.005363866370923491,0.0,0.0,0.0,0.0,0.0,0.0
4.23,0.3973726510138403,-1.3075428173537527,222.37037450120806,-23.164942237108583,-5.745480941309907,0.007818744997962469,0.0,0.0,0.0,0.0,0.0,0.0
4.26,0.39383840035024237,-1.2113099562484244,222.4377423446551,-23.534591644282802,-6.218150892838457,0.009787165809389332,0.0,0.0,0.0,0.0,0.0,0.0
4.29,0.3878900301041392,-1.1381446568781854,222.48994369676402,-23.893249654143652,-6.697177147832653,0.011075110950191714,0.0,0.0,0.0,0.0,0.0,0.0
4.32,0.37344977516969224,-1.07912020464165,222.5310145458692,-24.24889523405261,-7.188378477183252,0.011191698864955522,0.0,0.0,0.0,0.0,0.0,0.0
4.35,0.3387033038097804,-1.020554134955797,222.56613239358367,-24.613771522635705,-7.702621284706269,0.009153357646675915,0.0,0.0,0.0,0.0,0.0,0.0
4.38,0.2622053944527411,-0.9396052821547838,222.60278018853788,-25.00786803622223,-8.259159511602022,0.003195871977670015,0.0,0.0,0.0,0.0,0.0,0.0
4.41,0.10663048556829915,-0.7968264632069838,222.6524329168633,-25.46448193344758,-8.891025389360458,-0.009620865144895813,0.0,0.0,0.0,0.0,0.0,0.0
4.44,-0.19140376458334682,-0.5238314254432234,222.73289061687328,-26.038864528149265,-9.653538605394758,-0.03402711966835281,0.0,0.0,0.0,0.0,0.0,0.0
4.47,-0.7394193126380737,-0.003689677181110449,222.87158304185945,-26.82166888904206,-10.6373613654014,-0.0780983212048947,0.0,0.0,0.0,0.0,0.0,0.0
4.5,-1.72622168479873,0.9573714308837479,223.11156626546176,-27.96112801466843,-11.987573718269276,-0.15880709916907956,0.0,0.0,0.0,0.0,0.0,0.0
4.53,-3.5063638835041235,2.6620777865736587,223.52719369666968,-29.704577480212304,-13.928937731338344,-0.3210519901988944,0.0,0.0,0.0,0.0,0.0,0.0
4.56,-6.786313053835302,5.535090786675278,224.2728645151624,-32.485433618646795,-16.792762745919557,-0.6910648783712909,0.0,0.0,0.0,0.0,0.0,0.0
4.59,-12.966300110424596,10.031521195070615,225.95049199547674,-37.091597124804736,-21.038215236402152,-1.5795124125924571,0.0,0.0,0.0,0.0,0.0,0.0
4.62,-24.914209685283417,13.764585455577548,246.53142370666563,-44.36415288493315,-27.667239672068348,-3.298048045267579,0.0,0.0,0.0,0.0,0.0,0.0
4.65,18.621644045551296,-0.6345473044162852,56.293551521405355,0.08746161591729146,3.4187422765722557,0.0771958478695621,0.0,0.0,0.0,0.0,0.0,0.0
4.68,19.228686448421087,-24.643138848210338,173.22352481253387,10.753507094311127,8.982372342199717,0.7428679044125422,10.696627711393628,-20.953146647375274,49.10903582337016,10.206803097955719,10.05009462293197,1.0263953330558457
4.71,0.0,0.0,0.0,0.0,0.0,0.0,18.914338984836114,6.6491272695914825,249.83282924374447,19.112357317493117,17.4534066371258,-5.044462142262867
4.74,0.0,0.0,0.0,0.0,0.0,0.0,6.7938492227659655,1.360056849462278,223.6951043389375,19.73211415260688,13.617478255586022,-1.1094326357890718
4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.8021231769919722,0.5431910736785016,223.0011854156922,19.38354819583862,10.520055693671878,0.05098810554505404
4.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0533242978665942,0.45672585638193663,222.79072768596848,18.936248425790282,8.638610089844757,0.27666797922706593
4.83,0.0,0.0,0.0,0.0,0.0,0.0,-1.4225853541220548,0.5329227207725481,222.7046437999282,18.49746944998217,7.520912030770226,0.24244180765906218
4.86,0.0,0.0,0.0,0.0,0.0,0.0,-1.3448077978876976,0.607005991165975,222.6847617582911,18.08929008995828,6.818366891537577,0.17179157698347042
4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.164048485701707,0.65410207623086,222.6890883152603,17.705807809846398,6.315993665436404,0.1164936944962245
4.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.9829683610583739,0.6846347920354922,222.69611254782467,17.33605154793894,5.897046431614833,0.07958569766004114
4.95,0.0,0.0,0.0,0.0,0.0,0.0,-0.8292186941039598,0.7115831504339029,222.6967168000689,16.970997638486086,5.504386481350216,0.0556102231268864
4.98,0.0,0.0,0.0,0.0,0.0,0.0,-0.7075277392326889,0.744240693912157,222.68738425342585,16.60436048931826,5.113207691088966,0.039955938343816076
5.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.6149733709730812,0.7888491184217803,222.6666523580037,16.231773692044076,4.71487311723419,0.029695153942160282
